n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,delta_days,n_monotone
2813,0.03590472804834696,0.06867184756694912,0.6912877128420807,1.9126129426319591,0.03484102648194435,0.021811471888885933,0.01511309572848158,0.009495982468955442,1.591525234791637,26,75,0.06867184756694912,0.03590472804834696,1.9126129426319591,2813,101,1.0,0.018657531277412043,0.0297029702970297,0.10714285714285714,0.01,28,26,0.07692307692307693,2.0,153.19444444444443,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,lightgbm,False,0.0,221,0,30,
158,0.04430379746835443,0.18740225694007207,0.8079470198675497,4.229936656647341,0.04149804081417419,0.029310067947900136,,,,0,7,0.18740225694007207,0.04430379746835443,4.229936656647341,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,lightgbm,False,0.0,221,0,30,
2711,0.04869052010328292,0.07940366899135175,0.6214001198491311,1.6307829290572318,0.047035508612576854,0.028501033384988207,0.018020165293747368,0.013389441469013007,1.3458489165101606,35,97,0.07940366899135175,0.04869052010328292,1.6307829290572318,2711,132,1.0,0.028504220025509702,0.022727272727272728,0.1111111111111111,0.01,27,35,0.02857142857142857,3.0,301.8883333333333,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,lightgbm,False,0.0,221,1,30,
2770,0.053429602888086646,0.09020752407296223,0.6303703589172697,1.6883435248790903,0.05139375567116566,0.03731075061587089,0.023952296431897432,0.01093926820067899,2.189570270377934,29,119,0.09020752407296223,0.053429602888086646,1.6883435248790903,2770,148,1.0,0.021687473022436277,0.02702702702702703,0.14285714285714285,0.01,28,29,0.06896551724137931,0.5,6.605,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,lightgbm,False,0.0,221,1,30,
2838,0.04439746300211417,0.09609881651964998,0.6711616800112375,2.164511438752116,0.04274489297994801,0.03133776613205005,0.014759112203736461,0.009857612267250822,1.4972299380012655,27,99,0.09609881651964998,0.04439746300211417,2.164511438752116,2838,126,1.0,0.05066269904494781,0.05555555555555555,0.25,0.01,28,27,0.1111111111111111,1.0,20.416944444444443,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,lightgbm,False,0.0,221,1,30,
2813,0.03590472804834696,0.07792614866155075,0.7138277987090745,2.170358972128141,0.03461289030626115,0.02250368751580503,0.016294779704796442,0.009495982468955442,1.715965647374333,26,75,0.07792614866155075,0.03590472804834696,2.170358972128141,2813,101,1.0,0.03555057382819335,0.0297029702970297,0.10714285714285714,0.01,28,26,0.07692307692307693,1.5,62.715555555555554,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,lightgbm,False,0.0,221,1,30,
158,0.04430379746835443,0.1750048246248854,0.7672658467360454,3.9501088986759845,0.04194816555174805,0.02818232413109322,,,,0,7,0.1750048246248854,0.04430379746835443,3.9501088986759845,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,lightgbm,False,0.0,221,1,30,
2711,0.04869052010328292,0.07630273469789989,0.6215910559648443,1.567096316409141,0.050297933785713664,0.05159509972201467,0.016590239287555632,0.013389441469013007,1.239053871362012,35,97,0.07630273469789989,0.04869052010328292,1.567096316409141,2711,132,1.0,0.014582712521458345,0.015151515151515152,0.07407407407407407,0.01,27,35,0.0,,,,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,,,221,0,30,19.0
2770,0.053429602888086646,0.09085049820849869,0.6320840291092008,1.7003775678212254,0.05333230322818425,0.053352422474327546,0.03717439704429664,0.01093926820067899,3.398252640152772,29,119,0.09085049820849869,0.053429602888086646,1.7003775678212254,2770,148,1.0,0.011615917377783228,0.02027027027027027,0.10714285714285714,0.01,28,29,0.06896551724137931,1.0,105.91916666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,,,221,0,30,19.0
2838,0.04439746300211417,0.1062299857191857,0.6778076274757692,2.3927039640559444,0.044132154191938555,0.04429635406417573,0.03158210479220189,0.009857612267250822,3.203829075031147,27,99,0.1062299857191857,0.04439746300211417,2.3927039640559444,2838,126,1.0,0.05728741263388186,0.047619047619047616,0.21428571428571427,0.01,28,27,0.07407407407407407,0.5,27.77263888888889,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,,,221,0,30,19.0
2813,0.03590472804834696,0.07733688429442914,0.7174055901165338,2.1539470843587045,0.03622378765213765,0.036650928680204795,0.01862339845486552,0.009495982468955442,1.9611871142085304,26,75,0.07733688429442914,0.03590472804834696,2.1539470843587045,2813,101,1.0,0.011887547902400706,0.009900990099009901,0.03571428571428571,0.01,28,26,0.038461538461538464,3.0,306.0877777777778,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,,,221,0,30,19.0
158,0.04430379746835443,0.2483695416644998,0.7682119205298013,5.606055368998709,0.04430379746835443,0.04430379746835443,,,,0,7,0.2483695416644998,0.04430379746835443,5.606055368998709,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,,,221,0,30,19.0
2711,0.04869052010328292,0.07919149068873507,0.6285675678851328,1.6264252367966727,0.05021422942003616,0.05171873690572232,0.017640221537287958,0.013389441469013007,1.317472545670592,35,97,0.07919149068873507,0.04869052010328292,1.6264252367966727,2711,132,1.0,0.011947700022436513,0.015151515151515152,0.07407407407407407,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,,,221,1,30,19.0
2770,0.053429602888086646,0.10636613199912792,0.6383820891830045,1.9907715245782724,0.05338810296737541,0.0534462801485691,0.031230477184740084,0.01093926820067899,2.8548963798877915,29,119,0.10636613199912792,0.053429602888086646,1.9907715245782724,2770,148,1.0,0.028237064586108928,0.02702702702702703,0.14285714285714285,0.01,28,29,0.06896551724137931,1.0,105.91916666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,,,221,1,30,19.0
2838,0.04439746300211417,0.10095738260991,0.6771286931685161,2.2739448559279727,0.044172022068497276,0.04433592857984401,0.020449012605529664,0.009857612267250822,2.074438723205398,27,99,0.10095738260991,0.04439746300211417,2.2739448559279727,2838,126,1.0,0.04170140191205618,0.05555555555555555,0.25,0.01,28,27,0.1111111111111111,1.0,12.874166666666667,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,,,221,1,30,19.0
