n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,n_monotone,n_features,seed,ablation
2770,0.053429602888086646,0.09879975148443736,0.6193564846310842,1.8491575108911584,0.05311016584045853,0.053127596700973154,0.03154044232939661,0.01093926820067899,2.883231469490704,29,119,0.09879975148443736,0.053429602888086646,1.8491575108911584,2770,148,1.0,0.029156717737333162,0.033783783783783786,0.17857142857142858,0.01,28,29,0.06896551724137931,1.0,105.91916666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,19,200,0,no_regimesC
2838,0.04439746300211417,0.10605285487132197,0.6843540759469963,2.388714302577871,0.044005980613664314,0.04414626227279394,0.026898932982244637,0.009857612267250822,2.72874731253215,27,99,0.10605285487132197,0.04439746300211417,2.388714302577871,2838,126,1.0,0.03595450492013198,0.047619047619047616,0.21428571428571427,0.01,28,27,0.07407407407407407,0.5,27.77263888888889,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,19,200,0,no_regimesC
2813,0.03590472804834696,0.07812484494985444,0.7057558631969392,2.1758929588508966,0.035893988878349825,0.03594838819802346,0.016050259455918404,0.009495982468955442,1.6902157842424843,26,75,0.07812484494985444,0.03590472804834696,2.1758929588508966,2813,101,1.0,0.03555057382819335,0.0297029702970297,0.10714285714285714,0.01,28,26,0.07692307692307693,0.5,10.522083333333335,0.5,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,19,200,0,no_regimesC
158,0.04430379746835443,0.34528118939883645,0.8202459791863765,7.793489703573737,0.04430379746835443,0.04430379746835443,,,,0,7,0.34528118939883645,0.04430379746835443,7.793489703573737,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,19,200,0,no_regimesC
2711,0.04869052010328292,0.08085506241285169,0.6238059149071169,1.6605914712215224,0.04997990396420929,0.05005315499387924,0.020161592792619382,0.013389441469013007,1.5057829588544875,35,97,0.08085506241285169,0.04869052010328292,1.6605914712215224,2711,132,1.0,0.02586920752648787,0.022727272727272728,0.1111111111111111,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,19,200,1,no_regimesC
2770,0.053429602888086646,0.09554030330764854,0.625399426886841,1.7881529740688273,0.05332612054446617,0.05331850853560875,0.030071275899401558,0.01093926820067899,2.7489293934246044,29,119,0.09554030330764854,0.053429602888086646,1.7881529740688273,2770,148,1.0,0.011615917377783228,0.02027027027027027,0.10714285714285714,0.01,28,29,0.06896551724137931,1.0,105.91916666666667,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,19,200,1,no_regimesC
2838,0.04439746300211417,0.1034734667843341,0.6697979585147726,2.3306166566185724,0.044467308481256906,0.04455767165387619,0.022009966889109868,0.009857612267250822,2.2327888633063675,27,99,0.1034734667843341,0.04439746300211417,2.3306166566185724,2838,126,1.0,0.03710387534261799,0.05555555555555555,0.25,0.01,28,27,0.14814814814814814,1.0,37.98111111111111,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,19,200,1,no_regimesC
2813,0.03590472804834696,0.08070160160531527,0.7088407955839832,2.2476594585718,0.03589515792717578,0.03594781083001502,0.016812713673921176,0.009495982468955442,1.7705080784306222,26,75,0.08070160160531527,0.03590472804834696,2.2476594585718,2813,101,1.0,0.012912844498829292,0.019801980198019802,0.07142857142857142,0.01,28,26,0.038461538461538464,3.0,306.0877777777778,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,19,200,1,no_regimesC
158,0.04430379746835443,0.25368399282948806,0.8022705771050143,5.726010123865588,0.04430379746835443,0.04430379746835443,,,,0,7,0.25368399282948806,0.04430379746835443,5.726010123865588,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,19,200,1,no_regimesC
2711,0.04869052010328292,0.07630273469789989,0.6215910559648443,1.567096316409141,0.050297933785713664,0.05159509972201467,0.016590239287555632,0.013389441469013007,1.239053871362012,35,97,0.07630273469789989,0.04869052010328292,1.567096316409141,2711,132,1.0,0.014582712521458345,0.015151515151515152,0.07407407407407407,0.01,27,35,0.0,,,,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,15,221,0,no_entity_memory
