n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,condition
2770,0.053429602888086646,0.06518202185353857,0.5348377553755128,1.2199608144209582,0.05293064715234486,0.049412619153168386,0.06465137220461607,0.01093926820067899,5.9100271625668,29,119,0.06518202185353857,0.053429602888086646,1.2199608144209582,2770,148,1.0,0.03980829589413531,0.033783783783783786,0.17857142857142858,0.01,28,29,0.1724137931034483,0.0,0.0,0.2,1,90,120,5108,2770,0.04757243539545811,0.053429602888086646,1441,0,lightgbm,False,0,221,1,rung3_entity_disjoint
2838,0.04439746300211417,0.48828532562884697,0.7996031746031746,10.998045667735457,0.026932321717791925,0.024893504515670798,0.04537247815998713,0.009857612267250822,4.6027858400075825,27,99,0.060908909655530044,0.046924540266328474,1.2980182503617685,1577,74,0.5556730091613813,0.14532271493799925,0.2222222222222222,1.0,0.01,28,27,0.0,,,,2,120,150,9319,2838,0.05032728833565833,0.04439746300211417,0,0,lightgbm,False,0,221,1,rung2_full
2838,0.04439746300211417,0.4956915362674729,0.8405206723790795,11.164861745453079,0.028367960019665257,0.02523938727717643,0.03501066588915761,0.009857612267250822,3.5516375507556552,27,99,0.09078008621155617,0.048573163327261686,1.8689350248804129,1647,80,0.580338266384778,0.15392561642422412,0.2222222222222222,1.0,0.01,28,27,0.0,,,,2,120,150,7879,2838,0.0503871049625587,0.04439746300211417,0,0,lightgbm,False,0,221,1,rung2_size_matched
2838,0.04439746300211417,0.06393217426275455,0.630609987357775,1.439996115537281,0.044112801081226304,0.041446825687806076,0.039415821796600095,0.009857612267250822,3.9985161444773203,27,99,0.06393217426275455,0.04439746300211417,1.439996115537281,2838,126,1.0,0.0015328098908450073,0.007936507936507936,0.03571428571428571,0.01,28,27,0.037037037037037035,0.0,0.0,0.0,2,120,150,7879,2838,0.051021703261835256,0.04439746300211417,1440,0,lightgbm,False,0,221,1,rung3_entity_disjoint
2813,0.03590472804834696,0.44506002733952793,0.8017757527965186,12.395582741644475,0.023222991014646737,0.020922544798734215,0.08324631519497841,0.009495982468955442,8.766477346301956,26,75,0.07235006262427576,0.035021888680425266,2.065852681003874,1599,56,0.5684322787060079,0.17671312118701596,0.27722772277227725,1.0,0.01,28,26,0.0,,,,3,150,180,12157,2813,0.04894299580488607,0.03590472804834696,0,0,lightgbm,False,0,221,1,rung2_full
2813,0.03590472804834696,0.47121380372092275,0.8177991471713543,13.124004256108472,0.022994800152436545,0.018699405134909183,0.044460752335503693,0.009495982468955442,4.682059226715735,26,75,0.07958808620447248,0.03425076452599388,2.3236878740055804,1635,56,0.5812300035549236,0.1744368256000298,0.27722772277227725,1.0,0.01,28,26,0.0,,,,3,150,180,10734,2813,0.048537357928079,0.03590472804834696,0,0,lightgbm,False,0,221,1,rung2_size_matched
2813,0.03590472804834696,0.05653264378095222,0.6390227518327053,1.5745180886714711,0.03563500707961298,0.032776100071530916,0.051582031567777,0.009495982468955442,5.431984708945132,26,75,0.05653264378095222,0.03590472804834696,1.5745180886714711,2813,101,1.0,0.06055672786291429,0.0297029702970297,0.10714285714285714,0.01,28,26,0.11538461538461539,0.0,0.0,0.0,3,150,180,10734,2813,0.05170486305198435,0.03590472804834696,1423,0,lightgbm,False,0,221,1,rung3_entity_disjoint
158,0.04430379746835443,0.9999999999999998,1.0,22.571428571428566,3.5339070990754064e-06,0.0011894784954993554,,,,0,7,,,,0,0,,0.464141709951877,0.2857142857142857,1.0,0.01,2,0,,,,,4,180,182,14970,158,0.04649298597194389,0.04430379746835443,0,0,lightgbm,False,0,221,1,rung2_full
158,0.04430379746835443,0.9999999999999998,1.0,22.571428571428566,2.544211966893192e-06,0.0010254586741635604,,,,0,7,,,,0,0,,0.30078561796698344,0.2857142857142857,1.0,0.01,2,0,,,,,4,180,182,14521,158,0.04641553612010192,0.04430379746835443,0,0,lightgbm,False,0,221,1,rung2_size_matched
158,0.04430379746835443,0.14449927779030303,0.7530747398297067,3.2615551272668397,0.0441662454927272,0.04334158753556565,,,,0,7,0.14449927779030303,0.04430379746835443,3.2615551272668397,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,14521,158,0.04696646236485091,0.04430379746835443,449,0,lightgbm,False,0,221,1,rung3_entity_disjoint
