n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,n_monotone
2711,0.04869052010328292,0.07653123129583624,0.6195788830530978,1.5717891518410003,0.04720536287357829,0.026743773970472357,0.018679747764435213,0.013389441469013007,1.3951103044638185,35,97,0.07653123129583624,0.04869052010328292,1.5717891518410003,2711,132,1.0,0.021982631983811955,0.015151515151515152,0.07407407407407407,0.01,27,35,0.02857142857142857,3.0,301.8883333333333,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,lightgbm,False,0.0,221,0,
2770,0.053429602888086646,0.09253285682332771,0.6262652812996063,1.7318649554095793,0.051315917745023164,0.035997539378899775,0.024319484385668177,0.01093926820067899,2.2231363140140115,29,119,0.09253285682332771,0.053429602888086646,1.7318649554095793,2770,148,1.0,0.028282157580903012,0.04054054054054054,0.21428571428571427,0.01,28,29,0.1724137931034483,1.0,180.53527777777776,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,lightgbm,False,0.0,221,0,
2838,0.04439746300211417,0.09809534528866384,0.6732657910755256,2.2094808724541903,0.042595199803784616,0.031122899404124434,0.017124207306953538,0.009857612267250822,1.7371556968053976,27,99,0.09809534528866384,0.04439746300211417,2.2094808724541903,2838,126,1.0,0.029709039306282742,0.03968253968253968,0.17857142857142858,0.01,28,27,0.07407407407407407,0.5,27.77263888888889,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,lightgbm,False,0.0,221,0,
2813,0.03590472804834696,0.06867184756694912,0.6912877128420807,1.9126129426319591,0.03484102648194435,0.021811471888885933,0.01511309572848158,0.009495982468955442,1.591525234791637,26,75,0.06867184756694912,0.03590472804834696,1.9126129426319591,2813,101,1.0,0.018657531277412043,0.0297029702970297,0.10714285714285714,0.01,28,26,0.07692307692307693,2.0,153.19444444444443,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,lightgbm,False,0.0,221,0,
158,0.04430379746835443,0.18740225694007207,0.8079470198675497,4.229936656647341,0.04149804081417419,0.029310067947900136,,,,0,7,0.18740225694007207,0.04430379746835443,4.229936656647341,158,7,1.0,0.0,0.0,0.0,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,lightgbm,False,0.0,221,0,
2711,0.04869052010328292,0.07940366899135175,0.6214001198491311,1.6307829290572318,0.047035508612576854,0.028501033384988207,0.018020165293747368,0.013389441469013007,1.3458489165101606,35,97,0.07940366899135175,0.04869052010328292,1.6307829290572318,2711,132,1.0,0.028504220025509702,0.022727272727272728,0.1111111111111111,0.01,27,35,0.02857142857142857,3.0,301.8883333333333,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,lightgbm,False,0.0,221,1,
2770,0.053429602888086646,0.09020752407296223,0.6303703589172697,1.6883435248790903,0.05139375567116566,0.03731075061587089,0.023952296431897432,0.01093926820067899,2.189570270377934,29,119,0.09020752407296223,0.053429602888086646,1.6883435248790903,2770,148,1.0,0.021687473022436277,0.02702702702702703,0.14285714285714285,0.01,28,29,0.06896551724137931,0.5,6.605,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,lightgbm,False,0.0,221,1,
2838,0.04439746300211417,0.09609881651964998,0.6711616800112375,2.164511438752116,0.04274489297994801,0.03133776613205005,0.014759112203736461,0.009857612267250822,1.4972299380012655,27,99,0.09609881651964998,0.04439746300211417,2.164511438752116,2838,126,1.0,0.05066269904494781,0.05555555555555555,0.25,0.01,28,27,0.1111111111111111,1.0,20.416944444444443,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,lightgbm,False,0.0,221,1,
2813,0.03590472804834696,0.07792614866155075,0.7138277987090745,2.170358972128141,0.03461289030626115,0.02250368751580503,0.016294779704796442,0.009495982468955442,1.715965647374333,26,75,0.07792614866155075,0.03590472804834696,2.170358972128141,2813,101,1.0,0.03555057382819335,0.0297029702970297,0.10714285714285714,0.01,28,26,0.07692307692307693,1.5,62.715555555555554,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,lightgbm,False,0.0,221,1,
158,0.04430379746835443,0.1750048246248854,0.7672658467360454,3.9501088986759845,0.04194816555174805,0.02818232413109322,,,,0,7,0.1750048246248854,0.04430379746835443,3.9501088986759845,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,lightgbm,False,0.0,221,1,
